ror_id_url,name
https://ror.org/043c0p156,Royal Netherlands Academy of Arts and Sciences
https://ror.org/04z3wz653,Netherlands Institute for Advanced Study in the Humanities and Social Sciences
https://ror.org/05dq4pp56,International Institute of Social History
https://ror.org/05kaxyq51,Meertens Institute
https://ror.org/01g25jp36,Netherlands Institute of Ecology
https://ror.org/05csn2x06,Netherlands Institute for Neuroscience
https://ror.org/05kgbsy64,Spinoza Centre for Neuroimaging
https://ror.org/01gntjh03,Royal Netherlands Institute for Sea Research
https://ror.org/023qc4a07,Hubrecht Institute for Developmental Biology and Stem Cell Research
https://ror.org/03124pm05,Netherlands Institute for the Study of Crime and Law Enforcement
https://ror.org/05he87q93,NIOD Institute for War, Holocaust and Genocide Studies
https://ror.org/04x6kq749,Huygens Institute for History and Culture of the Netherlands
https://ror.org/04crnd335,Rathenau Instituut
