display_name,organization,website,type_0,type_1,type_2,country,country_code,region,ror,,
Aix-Marseille Université (France),Aix-Marseille Université,https://www.univ-amu.fr,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,France,FR,Western Europe,https://ror.org/035xkbk20,,30
Athena Research Center (Greece),Athena Research Center,https://www.athenarc.gr/en,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Greece,GR,Southern Europe,https://ror.org/0576by029,,
"Birkbeck, University of London (United Kingdom)","Birkbeck, University of London",https://www.bbk.ac.uk/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,United Kingdom,GB,Western Europe,https://ror.org/02mb95055,,
CaixaResearch Institute (Spain),CaixaResearch Institute,https://fundacionlacaixa.org/es/caixaresearch-institute,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,,,
California Digital Library - CDL (United States of America),California Digital Library - CDL,https://cdlib.org,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,United States of America,US,North America,https://ror.org/03yrm5c26,,
Centre de Recerca Ecològica i Aplicacions Forestals - CREAF (Spain),Centre de Recerca Ecològica i Aplicacions Forestals - CREAF,https://www.creaf.cat/ca,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/03abrgd14,,
Centres de Recerca de Catalunya - I-CERCA (Spain),Centres de Recerca de Catalunya - I-CERCA,https://cerca.cat/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/01bkbaq61,,
Charles University (Czech Republic),Charles University,https://cuni.cz/UKEN-1.html,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Czech Republic,CZ,Eastern Europe,https://ror.org/024d6js02,,
Coimbra Group (international),Coimbra Group,https://www.coimbra-group.eu,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,international,,international,,,
Delft University of Technology (Netherlands),Delft University of Technology,https://tudelft.nl,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Netherlands,NL,Western Europe,https://ror.org/02e2c7k09,,
European Organization for Nuclear Research - CERN (Switzerland),European Organization for Nuclear Research - CERN,https://home.cern,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Switzerland,CH,Western Europe,https://ror.org/01ggx4157,,
Galicia Supercomputing Center (Spain),Galicia Supercomputing Center,https://www.cesga.es/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Spain,ES,Southern Europe,https://ror.org/02z51cq88,,
Hamburg University of Technology (Germany),Hamburg University of Technology,https://www.tuhh.de,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Germany,DE,Western Europe,https://ror.org/04bs1pb34,,
Hugo Grotius GmbH (Germany),Hugo Grotius GmbH,https://hugo-grotius.org,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Germany,DE,Western Europe,https://ror.org/01a6wy980,,
Ibn Tofaïl University (Morocco),Ibn Tofaïl University,https://www.uit.ac.ma,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,Morocco,MA,MENA,https://ror.org/02wj89n04,,
University “St. Kliment Ohridski” (North Macedonia),University “St. Kliment Ohridski”,https://uklo.edu.mk/,Signatories,"Organizations performing, funding or evaluating research",Universities and other research performing organizations,North Macedonia,MK,Eastern Europe,https://ror.org/04161ta68,,
